,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_20,M_23,M_24,M_25,M_26,M_27,M_28,M_31,M_32,M_33,M_34,M_35,M_36,M_38,M_42
sample_0001,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596154,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_0002,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_0003,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_0004,0.055509105,0.08137018,0.12831554,0.23963927,0.01933791,0.16468646,0.13364309,0.20882167,0.10267299,0.16565134,0.12134012,0.024853444,0.060488842,0.21839377,0.01900925,0.09050265,0.29916468,0.009826035,0.25310302,0.1581541,0.29719776,0.12342711,0.38327885,0.2232351
sample_0005,0.014846593,0.08084006,0.11004336,0.23851955,0.018143144,0.11741136,0.13351305,0.20779352,0.102021314,0.16517211,0.12187236,0.024711868,0.29661,0.21751824,0.02218232,0.03369589,0.30120227,5.851034e-05,0.25161612,0.15940326,0.29729384,0.12318926,0.38744885,0.2226295
sample_0006,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596154,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_0007,0.014939189,0.07922329,0.116832115,0.23898475,0.066666916,0.13893639,0.13354862,0.2079729,0.102247156,0.16536354,0.12171876,0.024744151,0.27993727,0.21780407,0.023191959,0.016532898,0.29933625,0.008671915,0.25200105,0.15910552,0.29727802,0.12323162,0.38716903,0.22282304
sample_0008,0.0541453,0.08127426,0.12798059,0.23960078,0.020402357,0.16419102,0.13364145,0.20891424,0.10266744,0.1656432,0.121346354,0.024851315,0.066008106,0.21838537,0.01932957,0.091112986,0.29911244,0.010412689,0.2530991,0.15817256,0.29719955,0.12342269,0.3832179,0.22322899
sample_0009,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596154,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_0010,0.0052121356,0.08116376,0.11576342,0.23842435,0.019337382,0.13314025,0.13356389,0.20840715,0.10227154,0.16542618,0.12167169,0.024764666,0.28389585,0.2178533,0.023053724,0.016619243,0.2999604,0.0039177528,0.25239062,0.15892687,0.2972591,0.123268604,0.38767493,0.22285755
sample_0011,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_0012,0.061013095,0.08158302,0.1293548,0.23971342,0.016836714,0.16812162,0.13365616,0.20894243,0.102725156,0.1656838,0.12129528,0.024866004,0.04024964,0.21846525,0.018790685,0.10053703,0.2990659,0.010596155,0.253229,0.15802819,0.29718888,0.12344864,0.38271952,0.22328483
sample_0013,0.057905287,0.081554905,0.1284513,0.23959821,0.016963026,0.16532981,0.13364626,0.20886765,0.10268289,0.16566096,0.12133011,0.024856685,0.0510692,0.21840832,0.01912787,0.09457294,0.29917696,0.009901822,0.25313425,0.15812209,0.29719526,0.1234322,0.38315168,0.22324501
