,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11
39-3-31-14_S15,0.0015524162,0.01807787,0.004177124,0.02099841,0.007026762,0.0,0.28286794,0.6486176,0.024282878,0.0040504113,0.0046568876
MGH39_082514-1,0.25817224,0.7363665,0.8067131,0.8254715,0.7793081,0.84545684,0.6360714,0.45465013,0.8359264,0.98184377,0.6371809
208-9-10-14_S11,0.0009848278,0.009051896,0.02857832,0.06057602,0.0052440464,0.0020444794,0.44691265,0.13288099,0.052796952,0.00079709664,0.0
MGH42_101714,0.39342418,0.5262076,0.50069404,0.5752189,0.5605058,0.5206742,0.61428237,0.8051462,0.49756795,0.5765772,0.40530434
MGH208_051315,0.17814593,0.5273079,0.595571,0.6192224,0.8481631,0.7680148,0.44395742,0.18656191,0.71401334,0.92022854,0.6208332
62-10-2-13_S6,0.00021967496,0.00012550456,0.0023561488,0.046355873,0.0075714495,0.04442776,0.5057027,0.0,0.037191827,0.0032900833,0.009967454
115-041514,0.32081646,0.68705297,0.69107777,0.69321203,0.835843,0.8591738,0.7842131,0.22143099,0.7841701,0.956265,0.67631674
115-031814,0.32561436,0.6965993,0.7075987,0.74821365,0.7352996,0.81524724,1.0,0.45613995,0.7482126,0.9943728,0.6869775
208-10-22-14_S12,0.0030293353,0.01147363,0.0,0.04558052,0.0015925821,0.045895103,0.54442245,0.17288092,0.033598687,0.00100757,0.010032343
MGH208_031115-2,0.34162426,0.57542765,0.6456461,0.6549126,0.7733749,0.69603866,0.40932176,0.35687938,0.6483633,0.93557113,0.5361268
MGH42_112414,0.81695163,0.82748383,0.8100767,0.85975355,0.8969884,0.8877837,0.60959506,0.48200646,0.8601525,0.939235,0.71918756
42-12-30-14_S5,0.0036838364,0.019384995,0.00020124251,0.03886593,0.019141287,0.0051762443,0.09569511,0.66161764,0.041893657,0.0017777923,0.008106222
MGH39_082514-4,0.7356448,0.860759,0.822157,0.88264734,0.85134983,0.8466697,0.8766571,0.53740454,0.7876938,0.99665505,0.7103749
39-10-31-14_S17,0.0036935725,0.026606703,0.0017779735,0.03957025,0.012460027,0.03202164,0.5023204,0.46027443,0.035950657,0.02850458,0.03147538
MGH39_082514-3,0.9350636,0.967937,0.8567635,0.9424795,0.9488737,0.9379935,0.95517,0.5433067,0.8601559,0.9981361,0.7485991
MGH39_033114,0.6773489,0.7550547,0.8208639,0.7307665,0.75776166,0.8184622,0.56914544,0.6281551,0.6598975,0.91519547,0.4303839
MGH42_112414_1,0.75239384,0.8410578,0.6448579,0.6515041,0.62584937,0.59016025,0.40037206,0.60494804,0.6949277,0.9381087,0.65017813
MGH272-121914,0.9999999,0.9222529,0.8847949,0.96450895,0.85726035,0.91702825,0.5630264,1.0,0.73251724,0.99721843,0.67410374
MGH42_122914-1,0.80641973,0.8056868,0.7198362,0.7239796,0.76287764,0.7796569,0.99471796,0.5978861,0.7069997,0.8468964,0.66795295
MGH39_082514-5,0.981133,1.0,0.88159746,1.0,0.9999999,0.9135534,0.9097974,0.54789734,0.9850439,0.99940544,0.87436855
MGH42_122914_1,0.5843659,0.81785107,0.6812637,0.70245963,0.6359635,0.63018584,0.124929875,0.5949563,0.5696473,0.72907287,0.6488566
MGH208_031115-1,0.22500867,0.5803039,0.7045437,0.6452209,0.77028203,0.7286749,0.6069553,0.44747904,0.67309105,0.9718222,0.59113944
MGH422-092815,0.90046597,0.8882415,0.8320522,0.9604183,0.9363814,1.0,0.2918147,0.89197874,0.7661069,0.8598691,0.632907
MGH42_122914-2_1,0.74527705,0.78710777,0.71847785,0.68317777,0.67800504,0.6775701,0.4097543,0.5794257,0.64159936,0.77587557,0.6595071
148-6-5-14_S9,0.0062997704,0.034099672,0.0068130824,0.0,0.007174941,0.010697824,0.0,0.22224382,0.0,0.00020962767,0.005455632
MGH272-020415,0.9376513,0.93974715,1.0,0.95303583,0.92855406,0.92208165,0.8147018,0.92609715,0.80062866,0.9986916,0.69041353
