,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11
39-3-31-14_S15,0.5259248,0.14168441,0.0,0.870224,0.1360383,0.014279366,3.1292439e-07,0.5373676,0.2232281,0.6133495,0.98339844
MGH39_082514-1,0.23775387,0.4528408,0.619054,0.94853973,0.30992162,0.5924754,4.0978193e-07,0.4336114,0.45610225,0.9586666,0.96810913
208-9-10-14_S11,0.09518913,0.2842834,0.9331401,0.7939644,0.108839035,0.0,3.799796e-07,0.0765982,0.08199926,0.6799989,0.9831543
MGH42_101714,0.27094093,0.39481568,0.3676489,0.9996414,0.17563891,0.12563294,4.0233135e-07,0.0021442473,0.22509235,0.48322213,0.9844742
MGH208_051315,0.4854457,0.5343522,0.92670184,0.96549225,0.34215748,0.4369018,3.799796e-07,0.04896483,0.47808832,0.9040759,0.9479904
62-10-2-13_S6,0.15889466,0.032260537,0.65427214,0.89979935,0.13389957,0.0037828684,3.874302e-07,0.07129827,0.19234285,0.36903375,0.9831314
115-041514,0.5402099,0.84023345,0.97459716,0.95038986,0.8106921,0.5645553,4.172325e-07,0.04050502,1.0,0.9765937,0.8698654
115-031814,0.13173702,0.7440963,1.0,0.9629555,1.0,0.3268547,4.172325e-07,0.002065152,0.6065346,0.9729342,0.9790802
208-10-22-14_S12,0.33613414,0.64443755,0.827529,0.70685196,0.10249412,0.0011389852,3.9488077e-07,0.1863842,0.36320674,0.7550309,0.98041534
MGH208_031115-2,0.6740594,0.5089884,0.9276765,0.9686661,0.34969854,0.16995448,3.6507845e-07,0.032023996,0.31017965,0.94114035,0.9756088
MGH42_112414,0.47606108,0.5742235,0.67503184,0.98090744,0.37455487,0.4969766,4.0233135e-07,0.3976391,0.78212416,0.9168282,0.8351364
42-12-30-14_S5,0.21424627,0.3285095,0.53926116,0.96190643,0.0,0.0067923665,1.4901161e-07,0.1337567,0.31329334,0.4285336,0.98309326
MGH39_082514-4,0.39687163,0.41323227,0.6038788,0.93621445,0.31920588,0.7496128,4.172325e-07,0.43923151,0.3489712,0.9763064,0.98685455
39-10-31-14_S17,0.45036915,0.3153013,0.7034431,0.9936676,0.091700435,0.036473572,3.874302e-07,1.0000001,0.57575965,0.8007439,0.9881668
MGH39_082514-3,0.5165646,0.473046,0.5015362,0.92824554,0.41623378,0.70229197,4.172325e-07,0.53752595,0.67061746,0.9867756,0.9550781
MGH39_033114,0.8674537,0.34565514,0.1893968,0.9250221,0.29354835,0.53849614,4.0233135e-07,0.32558215,0.2840554,0.8670673,0.9723129
MGH42_112414_1,0.26671505,0.5940671,0.7991075,0.9615059,0.28115642,0.22846544,3.2782555e-07,0.027254015,0.43585962,0.9031413,0.98191833
MGH272-121914,0.5653858,0.6366849,0.9148436,0.9015045,0.67016315,0.83608615,4.0233135e-07,0.40902346,0.91196865,0.9984351,0.8966446
MGH42_122914-1,0.4023658,0.46939063,0.6343103,0.9783592,0.26964676,0.34683585,4.246831e-07,0.07616201,0.68448335,0.8451335,0.9527817
MGH39_082514-5,0.4486243,0.5689988,0.6050362,0.94574356,0.4423697,0.752601,4.172325e-07,0.5853344,0.68634236,0.9940347,0.9014282
MGH42_122914_1,0.45865825,0.4982841,0.72433,0.9663658,0.19141841,0.27725363,1.8626451e-07,0.039507747,0.58214414,0.8060978,0.9812012
MGH208_031115-1,0.5602877,0.4362892,0.81792575,0.9934883,0.36080968,0.12980086,4.0233135e-07,0.04951021,0.2636819,0.9647525,0.96201324
MGH422-092815,0.7193527,0.70231676,0.660904,0.89860916,0.55700207,0.85460865,3.2037497e-07,0.19633824,0.46546635,0.9364622,1.0
MGH42_122914-2_1,0.5344397,0.4783005,0.7439372,0.96079636,0.2448641,0.3102007,3.2782555e-07,0.074016064,0.5077815,0.827208,0.9887161
148-6-5-14_S9,0.7344179,0.3508805,0.4642349,0.0,0.25395977,0.042465568,0.0,0.349047,0.45683447,0.45933253,0.9837265
MGH272-020415,0.49924573,0.7630116,0.82985026,0.94387436,0.58231616,0.8041332,4.172325e-07,0.49544317,0.94093674,0.99999994,0.790123
42-10-17-14_S3,0.0,0.18266553,0.2959134,0.98820114,0.030084133,0.0018007755,4.0978193e-07,0.0018751025,0.0,0.0,0.9829941
MGH42_101714_1,0.42862427,0.37825656,0.5583759,1.0,0.13493192,0.07236409,4.172325e-07,0.0,0.17879193,0.3452108,0.9824829
62-7-8-14_S8,0.04699292,0.21545476,0.45586294,0.83177567,0.16896248,7.82609e-05,4.246831e-07,0.072933644,0.22060859,0.43575382,0.98262787
208-5-13-15_S14,0.104969144,0.384781,0.85878116,0.8368225,0.1948551,0.00013190508,3.9488077e-07,0.3180471,0.27702656,0.610736,0.9807205
MGH39_082514-2,0.3367374,0.5731106,0.7633726,0.974453,0.44161415,0.55226576,4.172325e-07,0.45366782,0.53991,0.9988038,0.9662323
39-8-25-14_S16,0.39250526,0.32421523,0.34580153,0.7705269,0.10196447,0.027669787,2.6077032e-07,0.7232698,0.43268695,0.7138091,0.9621048
MGH39_103114,0.54748,0.47973222,0.6053794,0.928051,0.43094087,1.0000001,4.0978193e-07,0.59546196,0.49977916,0.98806494,0.9296417
MGH422-110515,1.0,1.0000001,0.93439955,0.96095276,0.5092282,0.24910426,4.0233135e-07,0.5621073,0.48995495,0.9459751,0.0
62-5-27-14_S7,0.021478936,0.0,0.6434539,0.6958618,0.08595717,0.009002626,1.7881393e-07,0.047204375,0.118934155,0.5735473,0.9829941
42-11-24-14_S4,0.612386,0.36712188,0.51005703,0.9210701,0.052062392,0.015385747,2.7567148e-07,0.5539143,0.38678247,0.5657533,0.97892
208-3-11-15_S13,0.30367473,0.2685747,0.7059944,0.95889664,0.12537527,0.0013180971,2.9057264e-07,0.119319916,0.37262654,0.7219519,0.9791794
